Metric		Current
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		259
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UTILS__TEST		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UTILS__TEST		145
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UTILS__TEST_EXT_JS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UTILS__TEST_EXT_JS		145
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UTILS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UTILS		91
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UTILS_EXT_JS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UTILS_EXT_JS		91
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS		7
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS		513
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_JSX		7
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_JSX		513
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS__TEST		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS__TEST		75
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS__TEST_EXT_JSX		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS__TEST_EXT_JSX		75
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DATA		9
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DATA		1,283
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DATA_EXT_JS		9
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DATA_EXT_JS		1,283
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_VALIDATION		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_VALIDATION		15
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_VALIDATION_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_VALIDATION_EXT_JS		15
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		39
LOW_RISK_FILE_SIZE_COUNT		8
MEDIUM_RISK_FILE_SIZE_COUNT		2
HIGH_RISK_FILE_SIZE_COUNT		1
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		1,539
LOW_RISK_FILE_SIZE_LOC		1,046
MEDIUM_RISK_FILE_SIZE_LOC		438
HIGH_RISK_FILE_SIZE_LOC		686
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		12
LINES_OF_CODE_IN_UNITS		109
LINES_OF_CODE_OUTSIDE_UNITS		3,600
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		50
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		45.87
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		8
UNIT_SIZE_LOW_RISK_LOC		59
UNIT_SIZE_LOW_RISK_PERCENTAGE		54.13
UNIT_SIZE_LOW_RISK_COUNT		4
UNIT_SIZE_MEDIUM_RISK_LOC		0
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_HIGH_RISK_LOC		0
UNIT_SIZE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_HIGH_RISK_COUNT		0
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_UTILS_NEGLIGIBLE_RISK_LOC		32
UNIT_SIZE_COMPONENT_UTILS_NEGLIGIBLE_RISK_PERCENTAGE		35.16
UNIT_SIZE_COMPONENT_UTILS_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_COMPONENT_UTILS_LOW_RISK_LOC		59
UNIT_SIZE_COMPONENT_UTILS_LOW_RISK_PERCENTAGE		64.84
UNIT_SIZE_COMPONENT_UTILS_LOW_RISK_COUNT		4
UNIT_SIZE_COMPONENT_UTILS_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_UTILS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_UTILS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_UTILS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_UTILS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_UTILS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_UTILS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_UTILS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_UTILS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_DATA_NEGLIGIBLE_RISK_LOC		18
UNIT_SIZE_COMPONENT_DATA_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_DATA_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_COMPONENT_DATA_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_DATA_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_DATA_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_DATA_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_DATA_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_DATA_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_DATA_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_DATA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_DATA_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_DATA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_DATA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_DATA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		50
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		45.87
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		8
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		59
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		54.13
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		4
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		58
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		53.21
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		8
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		33
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		30.28
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		18
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		16.51
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_NEGLIGIBLE_RISK_LOC		40
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_NEGLIGIBLE_RISK_PERCENTAGE		43.96
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_NEGLIGIBLE_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_LOW_RISK_LOC		33
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_LOW_RISK_PERCENTAGE		36.26
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_LOW_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_MEDIUM_RISK_LOC		18
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_MEDIUM_RISK_PERCENTAGE		19.78
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_MEDIUM_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_NEGLIGIBLE_RISK_LOC		18
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		58
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		53.21
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		8
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		33
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		30.28
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		18
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		16.51
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		36
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		13
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		472
DUPLICATION_NUMBER_OF_CLEANED_LINES		3,273
DUPLICATION_PERCENTAGE		14.42
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_INVOICES		46
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_INVOICES		46
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_INVOICES		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_CONTACTS		51
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_CONTACTS		51
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_CONTACTS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_COMPONENTS		152
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_COMPONENTS		152
DUPLICATION_PERCENTAGE_PRIMARY_COMPONENTS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_DATA		119
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_DATA		119
DUPLICATION_PERCENTAGE_PRIMARY_DATA		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_FORM		30
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_FORM		30
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_FORM		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_TEAM		26
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_TEAM		26
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_TEAM		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_FAQ		28
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_FAQ		28
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_FAQ		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		20
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		20
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_CALENDAR		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_CALENDAR		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_CALENDAR		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_PIE		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_PIE		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_PIE		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_DASHBOARD_COMPONENTS		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_DASHBOARD_COMPONENTS		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_DASHBOARD_COMPONENTS		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_DASHBOARD		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_DASHBOARD		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_DASHBOARD		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_LINE		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_LINE		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_LINE		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_BAR		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_BAR		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_BAR		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_GLOBAL		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_GLOBAL		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_GLOBAL		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCENES_GEOGRAPHY		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCENES_GEOGRAPHY		0
DUPLICATION_PERCENTAGE_PRIMARY_SCENES_GEOGRAPHY		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_TEST		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_TEST		0
DUPLICATION_PERCENTAGE_PRIMARY_TEST		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_UTILS___TEST__		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_UTILS___TEST__		0
DUPLICATION_PERCENTAGE_PRIMARY_UTILS___TEST__		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_UTILS		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_UTILS		0
DUPLICATION_PERCENTAGE_PRIMARY_UTILS		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_COMPONENTS___TEST__		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_COMPONENTS___TEST__		0
DUPLICATION_PERCENTAGE_PRIMARY_COMPONENTS___TEST__		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_VALIDATION		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_VALIDATION		0
DUPLICATION_PERCENTAGE_PRIMARY_VALIDATION		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JSX		333
DUPLICATION_NUMBER_OF_CLEANED_LINES_JSX		1,782
DUPLICATION_PERCENTAGE_JSX		18.69
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		139
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		1,491
DUPLICATION_PERCENTAGE_JS		9.32
TOTAL_ANALYSIS_TIME_IN_MILLIS		250
